drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB04896,Milnacipran,N06AX17,N,Nervous system,N06,N06A,N06AX,N06AX17,Other antidepressants,N
DB04898,Ximelagatran,B01AE05,B,Blood and blood forming organs,B01,B01A,B01AE,B01AE05,Direct thrombin inhibitors,B
DB04899,Nesiritide,C01DX19,C,Cardiovascular system,C01,C01D,C01DX,C01DX19,Other vasodilators used in cardiac diseases,C
DB04907,Sitimagene ceradenovec,L01XX37,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX37,Other antineoplastic agents,L
DB04908,Flibanserin,G02CX02,G,Genito-urinary system and sex hormones,G02,G02C,G02CX,G02CX02,Other gynecologicals,G
DB04911,Oritavancin,J01XA05,J,Antiinfectives for systemic use,J01,J01X,J01XA,J01XA05,Glycopeptide antibacterials,J
DB04920,Clevidipine,C08CA16,C,Cardiovascular system,C08,C08C,C08CA,C08CA16,Dihydropyridine derivatives,C
DB04924,Itopride,A03FA07,A,Alimentary tract and metabolism,A03,A03F,A03FA,A03FA07,Propulsives,A
DB04930,Permethrin,P03AC54,P,Antiparasitic products,P03,P03A,P03AC,P03AC54,"Pyrethrines, incl. synthetic compounds",P
DB04930,Permethrin,P03AC04,P,Antiparasitic products,P03,P03A,P03AC,P03AC04,"Pyrethrines, incl. synthetic compounds",P
DB04931,Afamelanotide,D02BB02,D,Dermatologicals,D02,D02B,D02BB,D02BB02,Protectives against UV-radiation for systemic use,D
DB04932,Defibrotide,B01AX01,B,Blood and blood forming organs,B01,B01A,B01AX,B01AX01,Other antithrombotic agents,B
DB04938,Ospemifene,G03XC05,G,Genito-urinary system and sex hormones,G03,G03X,G03XC,G03XC05,Selective estrogen receptor modulators,G
DB04941,Crofelemer,A07XA06,A,Alimentary tract and metabolism,A07,A07X,A07XA,A07XA06,Other antidiarrheals,A
DB04944,Acadesine,C01EB13,C,Cardiovascular system,C01,C01E,C01EB,C01EB13,Other cardiac preparations,C
DB04946,Iloperidone,N05AX14,N,Nervous system,N05,N05A,N05AX,N05AX14,Other antipsychotics,N
DB04948,Lofexidine,N07BC04,N,Nervous system,N07,N07B,N07BC,N07BC04,Drugs used in opioid dependence,N
DB04951,Pirfenidone,L04AX05,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AX,L04AX05,Other immunosuppressants,L
DB04953,Ezogabine,N03AX21,N,Nervous system,N03,N03A,N03AX,N03AX21,Other antiepileptics,N
DB04956,Afelimomab,L04AB03,L,Antineoplastic and immunomodulating agents,L04,L04A,L04AB,L04AB03,Tumor necrosis factor alpha (TNF-α) inhibitors,L
DB04977,Plitidepsin,L01XX57,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XX,L01XX57,Other antineoplastic agents,L
DB04996,Satraplatin,L01XA04,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XA,L01XA04,Platinum compounds,L
DB05013,Ingenol mebutate,D06BX02,D,Dermatologicals,D06,D06B,D06BX,D06BX02,Other chemotherapeutics,D
