drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00495,Zidovudine,"['J05AR04', 'J05AF01', 'J05AR05', 'J05AR01']","['pol', 'TERT']","['CYP2A6', 'CYP2C8', 'CYP2C9', 'CYP3A4', 'TK1', 'UGT2B7', 'UGT1A1']","['SLC22A2', 'SLC22A6', 'SLC22A7', 'SLC22A8', 'SLC22A11', 'SLC28A1', 'SLC29A2', 'ABCB1', 'ABCC4', 'ABCC5', 'ABCG2']","['ABCG2', 'CYP2C9', 'TERT', 'SLC22A2', 'TK1', 'ABCB1', 'SLC22A7', 'pol', 'UGT2B7', 'SLC29A2', 'CYP2A6', 'SLC22A8', 'CYP2C8', 'SLC28A1', 'ABCC4', 'CYP3A4', 'UGT1A1', 'SLC22A11', 'SLC22A6', 'ABCC5']",2,7,11,20
DB00496,Darifenacin,['G04BD10'],"['CHRM3', 'CHRM1', 'CHRM2', 'CHRM4', 'CHRM5']","['CYP3A4', 'CYP2D6']",[],"['CHRM2', 'CHRM1', 'CHRM3', 'CYP2D6', 'CHRM5', 'CHRM4', 'CYP3A4']",5,2,0,7
DB00497,Oxycodone,"['N02AA56', 'N02AA05', 'N02AA55', 'N02AJ18', 'N02AJ17', 'N02AJ19']","['OPRM1', 'OPRK1', 'OPRD1']","['CYP2D6', 'CYP3A4', 'CYP3A5']",[],"['OPRK1', 'CYP3A5', 'OPRD1', 'CYP2D6', 'OPRM1', 'CYP3A4']",3,3,0,6
DB00498,Phenindione,['B01AA02'],['VKORC1'],[],[],['VKORC1'],1,0,0,1
DB00499,Flutamide,['L02BB01'],"['AR', 'AHR', 'NR1I2']","['CYP3A4', 'CYP1A2', 'CYP1A1', 'CYP1B1', 'CYP2C19', 'CYP3A5']",[],"['AHR', 'AR', 'CYP3A5', 'NR1I2', 'CYP1A2', 'CYP1A1', 'CYP2C19', 'CYP1B1', 'CYP3A4']",3,6,0,9
DB00500,Tolmetin,"['M01AB03', 'M02AA21']","['PTGS2', 'PTGS1']","['TDO2', 'MPO']",['SLC22A6'],"['TDO2', 'SLC22A6', 'MPO', 'PTGS2', 'PTGS1']",2,2,1,5
DB00501,Cimetidine,"['A02BA51', 'A02BA01']",['HRH2'],"['CYP1A2', 'CYP2C19', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP2D6', 'CYP11B1', 'CYP2C8', 'CYP2C9', 'CYP2E1', 'FMO3', 'FMO1']","['ABCB1', 'SLC22A2', 'SLC22A1', 'SLC22A3', 'SLC22A5', 'SLC22A6', 'SLC22A8', 'SLC47A1', 'SLC22A4', 'SLC22A11', 'SLC22A7', 'ABCB11', 'SLC47A2']","['FMO1', 'CYP2C9', 'SLC47A1', 'CYP2D6', 'SLC22A2', 'SLC47A2', 'CYP3A7', 'ABCB11', 'HRH2', 'CYP2C19', 'ABCB1', 'SLC22A7', 'FMO3', 'CYP11B1', 'SLC22A4', 'CYP2E1', 'SLC22A8', 'CYP2C8', 'CYP3A4', 'SLC22A3', 'CYP3A5', 'SLC22A11', 'SLC22A6', 'CYP1A2', 'SLC22A1', 'SLC22A5']",1,12,13,26
DB00502,Haloperidol,['N05AD01'],"['DRD2', 'DRD1', 'GRIN2B', 'HTR2A', 'DRD3', 'MCHR1', 'SLC18A2']","['CYP3A5', 'CYP3A7', 'CYP1A2', 'CYP2D6', 'CYP3A4', 'CBR1', 'UGT1A9', 'CYP1A1', 'CYP2C19', 'CYP2C9']",['ABCB1'],"['CYP3A7', 'HTR2A', 'ABCB1', 'GRIN2B', 'SLC18A2', 'CYP3A5', 'UGT1A9', 'CYP2C9', 'DRD2', 'CYP1A2', 'CBR1', 'CYP1A1', 'CYP2C19', 'DRD3', 'CYP2D6', 'DRD1', 'CYP3A4', 'MCHR1']",7,10,1,18
DB00503,Ritonavir,"['J05AP53', 'J05AR10', 'J05AE03', 'J05AR23', 'J05AP52']","['pol', 'NR1I2']","['CYP2D6', 'CYP2C9', 'CYP2C19', 'CYP2B6', 'CYP2C8', 'CYP1A2', 'CYP2E1', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP3A43', 'UGT1A1']","['ABCB1', 'ABCC1', 'SLCO1A2', 'ABCC2', 'ABCG2', 'SLCO1B1', 'SLCO2B1', 'ABCB11']","['ABCG2', 'SLCO1A2', 'CYP2C9', 'CYP2D6', 'CYP3A7', 'CYP2B6', 'ABCB11', 'NR1I2', 'CYP2C19', 'ABCB1', 'pol', 'SLCO2B1', 'CYP2E1', 'ABCC2', 'CYP2C8', 'CYP3A4', 'ABCC1', 'UGT1A1', 'CYP3A5', 'SLCO1B1', 'CYP1A2', 'CYP3A43']",2,12,8,22
DB00505,Tridihexethyl,['A03AB08'],"['CHRM3', 'CHRM1', 'CHRM2']",[],[],"['CHRM2', 'CHRM1', 'CHRM3']",3,0,0,3
DB00507,Nitazoxanide,['P01AX11'],['por'],['por'],[],['por'],1,1,0,1
DB00508,Triflupromazine,['N05AA05'],"['DRD1', 'DRD2', 'HTR2B', 'CHRM1', 'CHRM2']",['BCHE'],['ABCB1'],"['HTR2B', 'CHRM2', 'DRD2', 'CHRM1', 'BCHE', 'DRD1', 'ABCB1']",5,1,1,7
DB00509,Dextrothyroxine,['C10AX01'],"['THRA', 'THRB', 'TPO']",[],"['SLCO1B1', 'SLCO1C1', 'SLCO4A1', 'SLCO4C1', 'SLC7A5']","['THRB', 'SLC7A5', 'THRA', 'SLCO1B1', 'SLCO4A1', 'SLCO4C1', 'TPO', 'SLCO1C1']",3,0,5,8
DB00511,Acetyldigitoxin,['C01AA01'],['ATP1A1'],[],[],['ATP1A1'],1,0,0,1
DB00513,Aminocaproic Acid,['B02AA01'],"['PLG', 'PLAT', 'LPA']",['AOX1'],[],"['PLG', 'LPA', 'AOX1', 'PLAT']",3,1,0,4
DB00514,Dextromethorphan,"['R05DA09', 'N07XX59']","['SIGMAR1', 'SIGMAR1', 'GRIN3A', 'CHRNA2', 'SLC6A4', 'PGRMC1', 'CHRNA3', 'CHRNA4', 'CHRNB4', 'CHRNB2', 'CHRNA7', 'OPRM1', 'OPRD1', 'OPRK1', 'CYBB', 'CYBA', 'NCF1', 'NCF2', 'NCF4', 'RAC1', 'RAC2', 'SLC6A2']","['CYP2D6', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'CYP2B6', 'CYP2C19', 'CYP2C9', 'CYP2C8', 'CYP2E1']",[],"['GRIN3A', 'PGRMC1', 'CYP2C9', 'CHRNA3', 'CYP2D6', 'OPRM1', 'CYP3A7', 'CYBB', 'CYP2B6', 'SLC6A4', 'RAC1', 'SIGMAR1', 'OPRD1', 'CYP2C19', 'NCF1', 'CHRNA7', 'CHRNB4', 'CYBA', 'CYP2E1', 'NCF2', 'RAC2', 'CYP2C8', 'CYP3A4', 'CHRNA4', 'OPRK1', 'CHRNB2', 'CYP3A5', 'SLC6A2', 'CHRNA2', 'NCF4']",22,9,0,30
